INFO:     Started server process [10668]
INFO:     Waiting for application startup.
2026-04-10 11:25:47,981 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=10.55
2026-04-10 11:25:50,343 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=10.31
2026-04-10 11:25:52,398 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=16.60
2026-04-10 11:25:54,216 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=19.18
2026-04-10 11:25:54,243 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=13.57
2026-04-10 11:25:56,897 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=15.66
2026-04-10 11:25:59,464 | INFO | assignment2.api | Request completed: method=GET path=/api/v1/health status=200 duration_ms=0.97
2026-04-10 11:26:01,530 | INFO | assignment2.api | Request completed: method=GET path=/api/v1/health status=200 duration_ms=1.30
2026-04-10 11:26:03,397 | INFO | assignment2.api | Request completed: method=GET path=/api/v1/health status=200 duration_ms=0.93
2026-04-10 11:26:05,464 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=15.06
2026-04-10 11:26:08,310 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=12.95
2026-04-10 11:26:10,231 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=18.22
2026-04-10 11:26:10,258 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=13.04
2026-04-10 11:26:11,716 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=20.80
2026-04-10 11:26:11,731 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=12.24
2026-04-10 11:26:13,663 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=15.50
2026-04-10 11:26:13,689 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=12.15
2026-04-10 11:26:16,111 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=18.27
2026-04-10 11:26:17,862 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=15.80
2026-04-10 11:26:17,878 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=13.70
2026-04-10 11:26:19,746 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=17.72
2026-04-10 11:26:19,761 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=13.71
2026-04-10 11:26:21,761 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=14.72
2026-04-10 11:26:21,786 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=13.91
2026-04-10 11:26:23,107 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=10.56
2026-04-10 11:26:25,914 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=17.04
2026-04-10 11:26:25,940 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/mlp status=200 duration_ms=12.11
2026-04-10 11:26:27,776 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=16.42
2026-04-10 11:26:29,413 | INFO | assignment2.api | Request completed: method=POST path=/api/v1/predict/tree status=200 duration_ms=16.73
